Pet Name,Pet Type,Pet Age,Pet Sex,Pet Size,Pet Shelter,Pet City,Pet State
Zue,Domestic Long Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Scorch,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Kali,Tabby,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Blizzard,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Coral,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Tale,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Cheeto,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Charlie,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Tygger,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Eeyore,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Natasha,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Nebula,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Frisk,Domestic Medium Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Corabelle,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Clay,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Calypso,Tortoiseshell,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Nacho,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Griffey,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Felix,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Okoye,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Maggie,Siamese,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Gus,Domestic Short Hair,Baby,Male,Small,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Gabby,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Mary,Oriental Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Zue,Domestic Long Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Scorch,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Kali,Tabby,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Blizzard,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Coral,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Tale,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Cheeto,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Charlie,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Tygger,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Eeyore,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Natasha,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Nebula,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Frisk,Domestic Medium Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Corabelle,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Clay,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Calypso,Tortoiseshell,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Nacho,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Griffey,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Felix,Domestic Short Hair,Young,Male,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Okoye,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Maggie,Siamese,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Gus,Domestic Short Hair,Baby,Male,Small,Midwest Animal Rescue & Services,Minneapolis,Minnesota
Gabby,Domestic Short Hair,Young,Female,Medium,Midwest Animal Rescue & Services,Minneapolis,Minnesota
